sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id
"Нос конечно, еще мучает, но для него есть и другие лекарства, а то, что нет ломоты и температуры, я все могу делать-это плюс!",1,0,0,1,0,EF[5]|DI[1],2424679,11
Лишь спустя время ребенок стал спокойнее.,1,0,0,1,0,EF[2]|DI[3],2387405,9
"Покраснение спадает, неприятные ощущения проходят, даже при фарингите и ангине.",1,0,0,1,0,EF[3]|DI[1],2522797,8
"А то завтра, судя по отзывам, не встану совсем...",0,0,0,0,0,NEUTRAL,1792597,4
Здравствуйте!,0,0,0,0,0,NEUTRAL,2738039,1
"Наконец пришла наша педиатр, посмотрев нас сказала, что ОРВИ лечение врачей скорой помощи велела продолжать.",0,0,0,1,0,DI[2],608779,6
"Не рекомендую данный препарат людям, страдающим невралгией сердца и бессонницей.",0,0,0,1,0,DI[4],2399213,10
Поэтому я предпочитаю более серьёзные препараты для лечения гриппа.,0,0,0,1,0,DI[5],2395998,5
"Курс я пропила, заболела всё-таки, но болезнь протекала легче и выздоровела я быстрее.",1,0,0,0,0,EF[2],2443835,5
Хотя упаковка отличная и инструкция вселяет надежду и помощь.,0,0,0,0,0,NEUTRAL,2427129,8
"Я скажу, что результат есть, если принимать четко по схеме, а именно до еды.",1,0,0,0,0,EF[1],822720,3
"Препарат Амизон реально помогает, чего не скажешь о гомеопатических противовирусных препаратах.",1,0,0,0,0,EF[4],580741,3
"Взяла я вариант на 6 пакетиков с малиновым вкусом, так как у мамы была просто ОРВИ без температуры.",0,0,0,1,1,DI[3]|Finding[1],807999,3
"Я сама нередко применяю его как успокоительное средство, при тревожных состояниях.",0,0,0,1,0,DI[2],598445,4
А вот в следующий раз (прошло примерно полгода или чуть больше) во время обострения гастродуоденита препарат действует совсем по-другому.,0,0,0,1,0,DI[7],2653333,4
Постоянные внутренние переживания и чувство тревоги действительно очень сильно осложняли мне жизнь.,0,0,0,1,0,DI[6],792635,1
Всем доброго времени суток.,0,0,0,0,0,NEUTRAL,2533802,1
Мне Ингавирин особо не помог.,0,1,0,0,0,INF[1],2658215,1
"Я часто беру его во время поездок на поезде, обычно не могла спать, то люди ходят по пол-ночи, то стук колёс, но пить в поезде старалась по пол-таблетки.",0,0,0,1,0,DI[7],616736,5
"Но я думаю, что большой разницы в производителях нет.",0,0,0,0,0,NEUTRAL,647288,8
"Сказать, что толку не было - не сказать ничего.",0,1,0,0,0,INF[8],886333,9
"Вот только что действительно сильное у этого препарата - так это маркетологи, которые его рекламируют.",0,0,0,0,0,NEUTRAL,2421119,4
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7
К моему удивлению он оказался нашим спасением!,0,0,0,0,0,NEUTRAL,824290,4
Так что эффект есть.,1,0,0,0,0,EF[1],2509783,5
"Не лечить, а предотвращать болезни простудного и вирусного характера!!",0,0,0,0,1,Finding[4],3396668,10
Напишу свой.,0,0,0,0,0,NEUTRAL,2421166,3
"Корвалол просто незаменимое средство при нервных напряжениях, расстройствах, перед сном его моя мама всегда капала в мензурку и пила.",0,0,0,1,0,DI[1],598445,2
"После курса уколов сдвигов не наблюдалось, да и желание разговаривать опять куда-то пропало.",0,1,0,1,0,INF[2]|DI[1],2424557,6
"Видно было его желание общаться, старалась поддерживать, повторяла все звуки вместе с ним.",0,0,0,0,0,NEUTRAL,2424557,5
Прошлый год для наших знакомых был просто кошмарным по заболеваемости гриппом.,0,0,0,1,0,DI[4],588478,3
Поэтому пролечившись курс можно следующих 7-8 месяцев жить нормально не переживая за сквозняки и вирусы.,1,0,0,0,0,EF[1],2412180,3
"Однажды у неё поднялась температура, и я вызвала врача на дом.",0,0,0,1,0,DI[4],624086,3
"Знаю, что первым делом врачи назначают противирусные препараты, но у меня к ним всегда было недоверие.",0,0,0,0,0,NEUTRAL,2418485,2
"Они, конечно дороже, чем отечественные аналоги, но, я думаю, качество немного лучше.",0,0,0,0,0,NEUTRAL,2443835,3
"заболела сестрёнка маленькая, и болеет очень часто, т. к. начали ходить в садик.",0,0,0,0,0,NEUTRAL,2542614,1
"Бронхит нам поставили хронический, по выписке прописали дышать Атровентом и пить Ликопид 1мг раз в сутки в течении 10 дней, .",1,0,0,1,0,EF[8]|DI[9],4893288,7
"Тем более не рекомендую деткам, склонным к аллергии - в составе присутствуют красители и ароматизаторы.",0,0,1,0,0,ADR[6],1058674,7
"Общее впечатление : Амиксин дорогое, неэффективное средство с эффективным побочным действием",0,1,0,0,0,INF[2],895731,6
Общее впечатление : Может вызвать аллергию,0,0,1,0,0,ADR[5],1031967,10
"И вот спустя 2 дня мы захрипели закашляли, боролись своими силами, но тщетно.",0,0,0,1,0,DI[5],4893288,4
"С кагоцелом познакомились этим летом, когда ребёнок стал болеть постоянно, хватал вирусные инфекции одну за другой.",0,0,0,1,0,DI[2],2451285,1
Отсутствие аппетита в течение 2-3 дней!,0,0,1,0,0,ADR[2],1097205,4
Атрофию зрительного нерва я остановил с помощью семакса.,0,0,0,1,0,DI[2],2436921,1
"Но сон ужасный, утром просыпаешься, а состояние у тебя как будто ты не только ночь не спала, а еще усиленно работала.",0,0,1,0,1,ADR[6]|Finding[9],108315,5
"Стала спокойной даже чересчур, на работе стала тупить, коллеги сказали что я какая то заторможенная, все время клонит в сон.",0,0,1,1,0,ADR[1]|DI[2],1037212,3
"Назначила капли в нос, капли от кашля Геделикс и Анаферон детский по 1таб.",0,0,0,1,0,DI[3],610701,5
"Около двух лет кололи всевозможные препараты и было хорошее комплексное лечение, но результат все-равно был слабым, немного отпустило, но руку и ногу бабушке до конца не отпустило.",1,1,0,0,0,EF[4]|INF[3],618094,3
"Пожаловавшись медсестре, и попросив что нибудь от температуры, она мне дала свечку Виферон.",0,0,0,1,0,DI[5],1263039,4
очередная бессонная ночь.,0,1,0,1,0,INF[6]|DI[5],929986,12
Время использования: 1 год,0,0,0,0,0,NEUTRAL,271739,14
И температуры не стало!,1,0,0,1,0,EF[2]|DI[4],655424,6
"Да еще и по весьма низкой цене, что сейчас просто-таки редкость.",0,0,0,0,0,NEUTRAL,2500754,9
Не дает подняться температуре.,1,0,0,1,0,EF[4]|DI[2],594103,2
Командировка сорвалась практически.,0,0,0,0,0,NEUTRAL,2510430,4
"А на сейчас что я могу сказать: после того, как применяю, в носу становится легче, на запах и вкус непротивный, да и незаметно, как он попадает в нос.",1,0,0,0,0,EF[1],2451820,7
Со сном до сих пор проблемы... но мы не сдаемся.,0,1,0,1,0,INF[2]|DI[4],2503811,12
"Часто, особенно после напряженного дня, наполненного стрессами и нервными перевозбуждениями (срывами) у меня болел желудок (вернее верхняя его часть как бы каменела и присутствовала тупая боль и тяжесть).",0,0,0,1,0,DI[1],647288,3
Во время развода я очень сильно переживала и нервничала.,0,0,0,1,0,DI[1],582797,1
Один из вариантов облегчения острого стрессового состояния- это прием специальных растительных препаратов.,0,0,0,0,1,Finding[5],817386,5
"), но было фарингит (красное горло) - сидели на больничном.",0,0,0,1,0,DI[6],652119,8
Хорошее средство-рекомендую!,1,0,0,0,0,EF[3],598445,6
"Но опять эффекта конкретно от этих капель не видно, хуже конечно не стало, но насморк через какое-то время проходит.",0,1,0,1,0,INF[1]|DI[3],250977,10
Обратите внимание - в инструкции сказано - в комплексной терапии ОРВИ.,0,0,0,1,0,DI[5],4194932,13
"Стоят таблетки недорого, два года назад покупала рублей за 100 30 таблеток.",0,0,0,0,0,NEUTRAL,2459114,5
"Свое прямое назначение он выполнил, сопелки у дочки к вечеру практически прошли.",1,0,0,1,0,EF[3]|DI[1],2421166,4
"Донормил в принципе усыпляет, недостатком(в частности у меня) было то, что если я все-таки переборю .",0,0,0,0,0,NEUTRAL,978728,2
"После Кортексина с нашим диагнозом прогресс был, но детям-аллергикам нужно назначать с особой осторожностью.",0,0,0,0,1,Finding[4],2689254,8
Этой зимой мы заболели всей семьей ОРВИ.,0,0,0,1,0,DI[5],391573,1
"Как мне известно фенобарбитал - это наркотическое средство, влияющее на мозг человека притупляя все нервные окончания.",0,0,0,0,1,Finding[4],880939,4
"Действие я ощутила, где то, через неделю регулярного приема, но я принимала три препарата одновременно, в отличие от других препаратов у глицина нет побочных действий, можно маленьким детям, доступная цена.",0,0,0,0,0,NEUTRAL,878817,2
Очень просто такие лекарства принимать.,0,0,0,0,0,NEUTRAL,2515768,2
"Прочла инструкцию (я всегда читаю) и пожалела, что не сделала этого ещё в аптеке, ибо тогда я не купила бы это не самое дешевое гомеопатическое средство... ""Сверхмалые дозы антител к белку S100"" в домашней терапии повышенной тревожности у детей никак помочь не могут, пить их надо, очевидно, для успокоения родителей... Ни формулы вещества, ни четкого описания фармокинетики процесса... НИЧЕГО.",0,0,0,1,0,DI[1],2403676,2
"Утром стала с трудом просыпаться, ничего не могла делать.",0,0,1,0,0,ADR[9],747352,7
Вообще никакого улучшения.,0,1,0,0,0,INF[1],2439190,3
"Уже два курса прошел, в том числе методом электрофореза.",0,0,0,0,0,NEUTRAL,2436921,2
"Энцефабол нам был назначен, так как у нашего малыша основная проблема это ЗРР плюс он иногда еще моргал глазками.",0,0,0,1,0,DI[2],2414724,1
"Принимаю его уже несколько дней, но ни каких сдвигов не обнаружила.",0,1,0,0,0,INF[8],811884,3
